   mean     std    e1    e2
   0.59    0.60  2.50 -1.00
   0.60    0.58  2.00 -1.00
   0.60    0.62  2.50 -0.50
   0.60    0.62  2.50  0.00
   0.60    0.62  2.50 -1.50
   0.60    0.59  1.50  0.50
   0.60    0.58  1.50  1.00
   0.61    0.59  2.00 -0.50
   0.61    0.60  2.00  0.00
   0.61    0.59  1.50  0.00
   0.61    0.60  2.00  0.50
   0.61    0.64  2.50  0.50
   0.62    0.60  1.50  1.50
   0.62    0.58  2.00 -1.50
   0.62    0.64  3.00 -2.00
   0.62    0.57  1.50 -0.50
   0.63    0.65  2.50  1.00
   0.63    0.65  3.00 -0.50
   0.63    0.65  3.00  0.00
   0.63    0.62  2.00  1.00
   0.63    0.65  3.00 -1.00
   0.63    0.61  1.50  2.00
   0.64    0.66  3.00  0.50
   0.64    0.66  3.00  1.00
   0.64    0.61  2.50 -2.00
   0.64    0.65  3.00 -1.50
   0.64    0.58  1.00  1.50
   0.64    0.62  2.00  1.50
   0.64    0.66  3.50 -2.00
   0.65    0.62  1.50  2.50
   0.65    0.61  1.00  2.00
   0.65    0.65  3.50 -2.50
   0.66    0.66  3.50  0.00
   0.66    0.64  2.50  1.50
   0.66    0.63  1.00  2.50
   0.66    0.67  1.50  3.00
   0.66    0.56  1.50 -1.00
   0.66    0.66  3.50 -1.50
   0.66    0.65  3.50 -0.50
   0.67    0.58  1.00  1.00
   0.67    0.64  2.00  2.00
   0.67    0.66  3.00  1.50
   0.67    0.63  3.00 -2.50
   0.67    0.66  2.00  2.50
   0.67    0.57  1.50 -1.50
   0.67    0.66  3.50 -1.00
   0.67    0.66  3.50  0.50
   0.67    0.61  2.00 -2.00
   0.67    0.67  4.00 -2.50
   0.68    0.67  4.00 -0.50
   0.68    0.67  4.00 -2.00
   0.69    0.68  2.00  3.50
   0.69    0.69  1.50  3.50
   0.69    0.64  1.00  3.00
   0.69    0.68  4.00 -3.00
   0.69    0.70  3.00  2.00
   0.69    0.67  2.50  2.00
   0.69    0.70  1.50  4.00
   0.70    0.68  4.00 -1.50
   0.70    0.67  3.50  1.00
   0.70    0.56  1.00  0.00
   0.70    0.67  2.00  3.00
   0.70    0.58  1.00  0.50
   0.70    0.67  4.50 -3.00
   0.70    0.67  2.50  3.00
   0.70    0.68  4.00  0.50
   0.70    0.67  4.00  0.00
   0.70    0.67  3.50 -3.00
   0.70    0.67  4.00 -1.00
   0.71    0.69  3.50  1.50
   0.71    0.69  2.00  4.00
   0.71    0.69  4.50 -1.00
   0.71    0.69  4.50 -2.50
   0.71    0.69  3.00  2.50
   0.71    0.62  2.50 -2.50
   0.71    0.62  2.00 -2.50
   0.71    0.67  2.50  2.50
   0.71    0.74  1.50  4.50
   0.72    0.71  4.50 -0.50
   0.72    0.68  2.50  3.50
