   mean     std    e1    e2
   0.00    0.00  4.00 -2.00
   0.43    0.49  5.00 -1.50
   0.49    0.54  3.50 -2.00
   0.50    0.50  4.50 -1.50
   0.53    0.50  5.00 -1.00
   0.53    0.61  3.50 -2.50
   0.61    0.64  2.00 -0.50
   0.62    0.64  2.50 -1.00
   0.63    0.64  1.50  0.00
   0.63    0.62  2.00 -1.00
   0.64    0.64  3.00 -2.00
   0.64    0.63  3.00 -2.50
   0.65    0.66  3.00 -1.50
   0.65    0.65  2.50 -1.50
   0.65    0.61  1.50 -0.50
   0.66    0.66  2.00  0.00
   0.66    0.66  2.50 -0.50
   0.66    0.67  1.50  0.50
   0.67    0.68  3.00 -1.00
   0.68    0.72  3.00 -0.50
   0.68    0.63  1.00  0.50
   0.68    0.72  2.50  0.00
   0.69    0.66  3.00 -3.00
   0.69    0.70  4.00 -1.50
   0.69    0.60  1.00  0.00
   0.70    0.67  2.00 -1.50
   0.70    0.71  2.00  0.50
   0.70    0.69  2.50 -2.00
   0.70    0.65  1.00  1.00
   0.71    0.66  1.50 -1.00
   0.73    0.76  3.00  0.00
   0.75    0.75  2.50  0.50
   0.75    0.69  3.50 -1.50
   0.75    0.71  3.50 -1.00
   0.75    0.71  1.50  1.00
   0.76    0.60  0.50  1.00
   0.76    0.69  3.00 -3.50
   0.77    0.62  1.00 -0.50
   0.77    0.72  1.50 -1.50
   0.77    0.74  2.00 -2.00
   0.78    0.72  1.00  1.50
   0.78    0.73  2.50 -2.50
   0.78    0.80  3.00  0.50
   0.78    0.74  3.00 -4.00
   0.78    0.84  4.50 -1.00
   0.79    0.77  2.00  1.00
   0.79    0.82  5.00 -0.50
   0.80    0.56  0.50  0.50
   0.80    0.79  2.50  1.00
   0.81    0.67  0.50  1.50
   0.81    0.76  1.50  1.50
   0.83    0.77  2.00 -2.50
   0.83    0.77  3.50 -0.50
   0.83    0.84  3.00  1.00
   0.84    0.69  1.00 -1.00
   0.84    0.83  3.00 -4.50
   0.84    0.56  0.00  1.00
   0.85    0.76  2.50 -3.00
   0.86    0.79  1.50 -2.00
   0.86    0.81  1.00  2.00
   0.86    0.84  2.50  1.50
   0.87    0.82  2.00  1.50
   0.88    0.78  3.50 -3.00
   0.88    0.75  0.50  2.00
   0.88    0.84  3.50  0.00
   0.88    0.58  0.50  0.00
   0.89    0.82  1.50  2.00
   0.89    0.86  3.00  1.50
   0.90    0.85  1.00  2.50
   0.90    0.81  2.50 -3.50
   0.91    0.85  2.00  2.00
   0.92    0.88  2.50  2.00
   0.92    0.78  1.00 -1.50
   0.92    0.89  2.00  2.50
   0.92    0.83  2.50 -4.00
   0.92    0.86  4.00 -1.00
   0.92    0.86  3.50  0.50
   0.92    0.56  0.00  0.50
   0.93    0.68  0.00  2.00
   0.93    0.92  3.00  2.00
   0.93    0.84  2.00 -3.00
   0.93    0.88  1.50  2.50
   0.94    0.60  0.00  1.50
   0.94    0.62  0.50 -0.50
   0.94    0.85  1.50 -2.50
   0.95    0.85  0.50  2.50
   0.95    0.87  3.50  1.50
   0.96    0.87  5.00  0.00
   0.96    0.87  3.50  1.00
   0.96    0.87  4.50 -0.50
   0.96    0.86  1.00 -2.00
   0.96    0.95  1.50  3.00
   0.97    0.89  4.00 -0.50
   0.97    0.93  2.50  2.50
   0.97    0.91  1.00  3.00
   0.98    0.90  3.00 -5.00
   0.98    0.97  3.00  2.50
   0.98    0.87  4.50  0.00
   0.98    0.97  2.00  3.00
   1.00    0.98  2.50  3.00
   1.00    0.90  0.50  3.00
   1.00    0.86  5.00  1.00
   1.00    0.87  5.00  0.50
   1.00    0.87  4.50  1.00
   1.00    1.02  2.00  3.50
   1.01    1.03  1.50  3.50
   1.01    0.99  3.00  3.00
   1.01    0.90  4.00  0.00
   1.01    1.05  1.50  4.00
   1.01    0.88  2.00 -3.50
   1.02    0.93  4.00  1.00
   1.02    0.92  1.00 -2.50
   1.02    0.97  1.00  3.50
   1.02    1.03  2.00  4.00
   1.02    1.01  2.50  3.50
   1.02    0.77  0.50 -1.00
   1.02    0.94  4.00  0.50
   1.02    0.83  0.50 -1.50
   1.02    0.85  2.50 -4.50
   1.03    0.97  3.50  2.00
   1.03    0.87  1.50 -3.00
   1.03    1.08  1.50  4.50
   1.03    0.88  5.00  1.50
   1.03    1.00  3.50  2.50
   1.04    0.74  0.00  2.50
   1.04    0.57  0.00  0.00
   1.04    1.03  3.00  3.50
   1.04    1.04  2.50  4.00
   1.05    0.88  4.50  0.50
   1.05    1.05  1.00  4.00
   1.05    1.07  2.00  4.50
   1.06    1.08  1.50  5.00
   1.06    1.07  2.00  5.00
   1.06    0.99  4.00  1.50
   1.06    0.93  0.50  3.50
   1.06    1.03  4.00  2.00
   1.07    1.02  3.50  3.00
   1.07    1.07  1.00  4.50
   1.07    1.06  2.50  4.50
   1.07    1.06  4.00  2.50
   1.07    1.07  3.00  4.00
   1.07    0.98  5.00  2.00
   1.08    1.08  2.50  5.00
   1.08    1.08  3.00  4.50
   1.09    1.10  3.00  5.00
   1.09    1.05  3.50  3.50
   1.09    1.07  4.00  3.00
   1.09    0.85  0.00  3.00
   1.09    1.08  4.00  3.50
   1.10    1.09  3.50  4.00
   1.10    0.96  1.00 -3.00
   1.10    0.93  2.50 -5.00
   1.10    1.09  1.00  5.00
   1.10    1.06  4.50  1.50
   1.11    0.92  0.00  3.50
   1.11    1.12  4.00  4.50
   1.11    0.67 -0.50  2.00
   1.11    1.10  3.50  4.50
   1.11    1.02  0.50  4.00
