   mean     std    e1    e2
   0.46    0.65  1.00 -0.50
   0.48    0.63  1.00 -1.00
   0.48    0.66  0.50 -0.50
   0.49    0.59  1.50 -1.50
   0.49    0.66  0.50  0.00
   0.51    0.63  0.50 -1.00
   0.51    0.58  1.50 -2.00
   0.51    0.59  2.00 -1.50
   0.52    0.56  2.00 -2.50
   0.52    0.55  3.00 -2.00
   0.52    0.57  2.50 -3.50
   0.52    0.55  2.50 -3.00
   0.53    0.58  2.00 -2.00
   0.53    0.55  3.50 -2.00
   0.53    0.56  2.50 -2.50
   0.53    0.62  1.50 -1.00
   0.53    0.56  3.00 -3.50
   0.53    0.56  2.00 -3.00
   0.53    0.70  0.00  0.00
   0.54    0.58  1.50 -2.50
   0.54    0.56  2.50 -2.00
   0.54    0.59  2.50 -1.50
   0.54    0.59  3.00 -4.00
   0.54    0.57  4.00 -2.50
   0.54    0.58  1.50 -3.00
   0.54    0.58  2.00 -3.50
   0.54    0.55  3.00 -3.00
   0.54    0.59  1.00 -1.50
   0.54    0.55  3.50 -2.50
   0.55    0.55  3.00 -2.50
   0.55    0.66  0.00 -0.50
   0.55    0.59  2.50 -4.00
   0.55    0.62  2.00 -1.00
   0.55    0.60  1.00 -2.00
   0.56    0.59  3.50 -4.00
   0.56    0.61  3.50 -5.00
   0.56    0.61  3.00 -4.50
   0.56    0.59  3.00 -1.50
   0.56    0.61  2.00 -4.00
   0.56    0.61  1.50 -3.50
   0.57    0.55  3.50 -3.50
   0.57    0.58  4.00 -4.00
   0.57    0.61  3.50 -4.50
   0.57    0.64  2.50 -4.50
   0.57    0.59  4.50 -4.50
   0.57    0.59  5.00 -4.50
   0.57    0.57  4.50 -3.00
   0.57    0.56  4.00 -3.00
   0.57    0.61  4.00 -4.50
   0.57    0.62  4.00 -5.00
   0.57    0.55  3.50 -3.00
   0.57    0.63  0.00 -1.00
   0.57    0.55  4.00 -2.00
   0.58    0.65  1.50 -0.50
   0.58    0.58  1.00 -2.50
   0.58    0.58  5.00 -4.00
   0.58    0.56  4.50 -3.50
   0.58    0.57  4.50 -2.50
   0.58    0.64  1.00 -3.00
   0.58    0.61  0.50 -1.50
   0.58    0.58  4.50 -4.00
   0.58    0.57  5.00 -3.50
   0.58    0.60  2.50 -1.00
   0.59    0.65  2.50 -5.00
   0.59    0.61  4.50 -5.00
   0.59    0.56  4.00 -3.50
   0.59    0.65  1.50 -4.00
   0.59    0.65  2.00 -4.50
   0.59    0.57  5.00 -3.00
   0.59    0.63  3.00 -5.00
   0.60    0.61  5.00 -5.00
   0.60    0.66  1.00  0.00
   0.60    0.58  3.50 -1.50
   0.60    0.57  5.00 -2.50
   0.61    0.61  0.50 -2.00
   0.61    0.64  1.00 -3.50
   0.61    0.65  0.00 -1.50
   0.62    0.66  2.00 -5.00
   0.62    0.67 -0.50 -0.50
   0.62    0.57  4.50 -2.00
   0.63    0.68  1.00 -4.00
   0.63    0.81 -0.50  0.00
