   mean     std    e1    e2
   0.44    0.50  4.00 -2.00
   0.52    0.79  0.00  0.50
   0.54    0.63  5.00 -1.50
   0.56    0.70  0.50  0.50
   0.57    0.76  0.50  0.00
   0.57    0.71  0.00  1.00
   0.62    0.69  1.00  0.50
   0.62    0.68  0.50  1.00
   0.63    0.69  1.00  0.00
   0.65    0.66  1.50  0.00
   0.65    0.90  0.00  0.00
   0.66    0.61  3.50 -2.00
   0.66    0.68  0.00  1.50
   0.67    0.64  3.50 -2.50
   0.69    0.66  1.50 -0.50
   0.70    0.82  0.50 -0.50
   0.70    0.70  1.50  0.50
   0.70    0.72  1.00 -0.50
   0.70    0.67  2.00 -0.50
   0.71    0.71  1.00  1.00
   0.72    0.72  0.50  1.50
   0.73    0.96  0.00 -0.50
   0.73    0.69  2.50 -1.00
   0.74    0.66  2.00 -1.00
   0.75    0.81 -0.50  1.50
   0.75    0.71  2.00  0.00
   0.75    0.71  2.50 -0.50
   0.76    0.70  1.50 -1.00
   0.76    0.73  4.50 -1.50
   0.77    0.75  0.00  2.00
   0.78    0.90 -0.50  1.00
   0.78    0.70  3.00 -1.50
   0.78    0.78  1.00 -1.00
   0.79    0.75  2.50  0.00
   0.81    0.73  3.00 -1.00
   0.81    0.66  2.50 -1.50
   0.82    0.78  1.50  1.00
   0.82    0.80  1.00  1.50
   0.82    0.67  3.00 -2.00
   0.82    0.78  2.00  0.50
   0.82    0.63  3.00 -2.50
   0.83    0.88  0.50 -1.00
   0.83    0.76  3.00 -0.50
   0.84    1.04 -0.50  0.50
   0.84    0.69  2.00 -1.50
   0.84    0.67  5.00 -1.00
   0.84    0.81 -0.50  2.00
   0.85    0.74  3.50 -1.50
   0.87    0.76  1.50 -1.50
   0.87    0.70  2.50 -2.00
   0.88    0.68  3.00 -3.00
   0.88    0.82  3.00  0.00
   0.89    0.84  0.50  2.00
   0.89    0.82  2.50  0.50
   0.91    0.75  2.00 -2.00
   0.91    0.81  2.00  1.00
   0.91    0.75  4.00 -1.50
   0.91    0.77  3.00 -3.50
   0.92    0.91  0.50 -1.50
   0.93    0.86  1.00 -1.50
   0.93    1.08 -0.50  0.00
   0.93    0.75  2.50 -2.50
   0.93    0.85  0.00  2.50
   0.93    1.04  0.00 -1.00
   0.94    0.81  3.50 -1.00
   0.94    0.85  1.00  2.00
   0.94    0.83  3.00  0.50
   0.94    0.82  1.50  1.50
   0.95    0.81  3.00 -4.00
   0.95    0.86 -0.50  2.50
   0.95    0.82  1.50 -2.00
   0.96    0.85  2.50  1.00
   0.97    0.87  0.50  2.50
   0.98    0.82  2.00 -2.50
   0.99    0.84  3.50 -0.50
   1.00    0.82  2.50 -3.00
   1.00    0.00  4.50 -2.00
   1.00    0.74  3.50 -3.00
   1.01    0.92  1.00 -2.00
   1.01    1.05  0.00 -1.50
   1.01    0.85  2.00  1.50
   1.02    0.88  1.50  2.00
   1.03    0.86  3.50  0.00
   1.04    0.93  1.00  2.50
   1.04    0.89  0.00  3.00
   1.04    0.89  1.50 -2.50
   1.05    0.86  2.50 -3.50
   1.05    0.93  3.00  1.00
   1.06    0.96  0.50 -2.00
   1.06    0.92  2.50  1.50
   1.07    0.99  0.50  3.00
   1.07    0.87  4.50 -1.00
   1.08    0.89  3.00 -4.50
   1.08    0.90  2.00 -3.00
   1.08    0.91  2.00  2.00
   1.08    0.92  3.50  0.50
   1.09    0.96  1.50  2.50
   1.09    0.99  1.00  3.00
   1.09    0.91 -0.50  3.00
   1.09    1.12 -0.50 -0.50
   1.09    0.96  1.00 -2.50
   1.10    0.87  5.00 -0.50
   1.11    1.08 -1.00  2.00
   1.11    0.97  2.50  2.00
   1.12    0.96  2.00  2.50
   1.12    1.02  0.50  3.50
   1.13    0.92  3.00  1.50
   1.13    0.99  1.50  3.00
   1.13    1.02  1.00  3.50
   1.13    0.95  1.50 -3.00
   1.14    1.02  0.00  3.50
   1.15    1.01  0.50 -2.50
   1.15    1.02 -1.00  2.50
   1.15    0.98  2.50  2.50
   1.16    1.03  0.50  4.00
   1.16    0.91  2.50 -4.00
   1.17    1.08 -1.00  1.50
   1.17    0.99  2.00  3.00
   1.17    0.98  3.00  2.00
   1.17    0.97  3.50  1.00
   1.17    0.95  2.00 -3.50
   1.18    1.05  1.00  4.00
   1.18    0.96 -0.50  3.50
   1.18    1.02  1.50  3.50
   1.19    0.94  2.50 -4.50
   1.19    1.00  1.00 -3.00
   1.19    1.03  0.00  4.00
   1.20    1.03  2.50  3.00
   1.20    1.01  3.50  1.50
   1.20    0.92  4.00 -1.00
   1.20    0.98  3.00 -5.00
   1.21    1.09  1.00  4.50
   1.21    1.06  1.50  4.00
   1.21    1.04  2.00  3.50
   1.21    1.03  3.00  2.50
   1.21    1.07  0.00 -2.00
   1.21    1.05  3.00  3.00
   1.22    1.03 -1.00  3.00
   1.22    1.06  2.00  4.00
   1.22    1.07  1.50  4.50
   1.22    1.11  2.00  5.00
