   mean     std    e1    e2
   0.50    0.66  0.50  0.00
   0.52    0.67  0.50 -0.50
   0.52    0.66  0.00 -0.50
   0.53    0.70  0.00  0.00
   0.58    0.69 -0.50 -0.50
   0.62    0.66  1.00  0.00
   0.63    0.82 -0.50  0.00
   0.63    0.80  0.00  0.50
   0.65    0.65  0.00 -1.00
   0.68    0.64  1.50  0.00
   0.69    0.79  0.50  0.50
   0.70    0.66 -0.50 -1.00
   0.71    0.69 -1.00 -0.50
   0.71    0.63  1.00 -0.50
   0.72    0.63  0.50 -1.00
   0.72    0.79  1.00  0.50
   0.72    0.82 -0.50  0.50
   0.73    0.62  1.50 -0.50
   0.73    0.63  0.00 -1.50
   0.74    0.67  2.00  0.00
   0.75    0.64 -0.50 -1.50
   0.75    0.67 -1.00 -1.00
   0.77    0.61  0.50 -1.50
   0.77    0.76  1.50  0.50
   0.78    0.57  1.00 -1.00
   0.78    0.64  2.00 -0.50
   0.79    0.57  1.50 -1.00
   0.79    0.65 -1.00 -1.50
   0.79    0.70  2.50  0.00
   0.80    0.58  2.00 -1.00
   0.81    0.77 -1.00  0.00
   0.82    0.57  1.00 -1.50
   0.82    0.64  0.00 -2.00
   0.82    0.63  0.50 -2.00
   0.82    0.70 -0.50 -2.00
   0.83    0.66  2.50 -0.50
   0.84    0.74  2.00  0.50
   0.84    0.56  1.50 -1.50
   0.84    0.63  2.50 -1.00
   0.85    0.74  2.50  0.50
   0.86    0.73 -1.00 -2.00
   0.86    0.79  0.00  1.00
   0.87    0.71 -1.50 -0.50
   0.87    0.60  1.00 -2.00
   0.87    0.69  3.00 -0.50
   0.87    0.77  1.00  1.00
   0.87    0.70  3.00  0.00
   0.87    0.69 -1.50 -1.00
   0.87    0.78  0.50  1.00
   0.88    0.74  3.00  0.50
   0.88    0.68  3.00 -1.00
   0.88    0.56  2.00 -1.50
   0.88    0.69 -1.50 -1.50
   0.89    0.71 -0.50 -2.50
   0.89    0.75 -1.00 -2.50
   0.89    0.59  1.50 -2.00
   0.90    0.78 -1.50  0.00
   0.90    0.72  3.50 -0.50
   0.90    0.69  0.00 -2.50
   0.92    0.63  2.50 -1.50
   0.92    0.69  0.50 -2.50
   0.92    0.70  3.50 -1.00
   0.92    0.74  3.50  0.00
   0.94    0.75 -1.00  0.50
   0.94    0.68  1.00 -2.50
   0.94    0.75 -1.50 -2.00
   0.94    0.76  1.50  1.00
   0.94    0.73  4.00 -1.00
   0.95    0.78  3.50  0.50
   0.95    0.66  3.00 -1.50
