   mean     std    e1    e2
   0.53    0.59  1.00  3.50
   0.54    0.59  1.00  3.00
   0.54    0.59  1.00  4.00
   0.55    0.59  1.00  2.50
   0.55    0.60  1.50  1.50
   0.55    0.60  1.50  2.00
   0.56    0.59  1.00  4.50
   0.56    0.61  1.50  3.00
   0.56    0.61  1.50  2.50
   0.56    0.60  0.50  4.50
   0.57    0.60  1.50  1.00
   0.57    0.59  1.00  2.00
   0.57    0.60  0.50  4.00
   0.57    0.60  1.50  3.50
   0.57    0.61  2.00  1.00
   0.57    0.59  0.50  3.50
   0.57    0.61  2.00  0.50
   0.57    0.60  1.00  5.00
   0.57    0.62  2.00  1.50
   0.58    0.58  1.00  1.50
   0.58    0.61  0.50  5.00
   0.58    0.59  0.50  3.00
   0.58    0.61  2.00  2.50
   0.59    0.60  1.50  4.00
   0.59    0.62  2.50  0.50
   0.59    0.62  2.00  2.00
   0.59    0.57  0.50  2.50
   0.59    0.61  2.00  3.00
   0.59    0.62  2.50  1.00
   0.60    0.58  1.00  1.00
   0.60    0.62  2.50  1.50
   0.60    0.63  2.50  0.00
   0.60    0.60  1.50  0.50
   0.61    0.61  1.50  4.50
   0.61    0.61  2.00  3.50
   0.61    0.62  2.00  0.00
   0.61    0.62  2.50  2.00
   0.61    0.63  3.00  0.50
   0.62    0.56  0.50  2.00
   0.62    0.61  1.50  5.00
   0.62    0.64  3.00  0.00
   0.62    0.61  2.00  4.00
   0.63    0.63  3.00  1.00
   0.63    0.62  2.50  3.00
   0.63    0.62  2.50  2.50
   0.63    0.64  3.50  0.50
   0.64    0.62  2.50 -0.50
   0.64    0.61  2.50  3.50
   0.64    0.61  2.00  4.50
   0.64    0.63  3.00  2.00
   0.64    0.64  3.00 -0.50
   0.64    0.64  3.50 -0.50
   0.64    0.63  3.00  1.50
   0.64    0.62  3.00  2.50
   0.64    0.64  3.50  0.00
   0.65    0.64  3.50  1.00
   0.65    0.61  2.50  4.00
   0.65    0.61  2.00  5.00
   0.65    0.64  3.50  1.50
   0.65    0.59  1.50  0.00
   0.66    0.63  3.00  3.00
   0.66    0.61  2.00 -0.50
   0.66    0.57  1.00  0.50
   0.66    0.67  4.00 -0.50
   0.66    0.64  3.50  2.00
   0.66    0.65  3.50 -1.00
   0.66    0.64  3.00 -1.00
   0.66    0.62  2.50  4.50
   0.66    0.63  3.00  3.50
   0.66    0.54  0.50  1.50
   0.66    0.67  4.00  0.00
   0.67    0.64  3.50  2.50
   0.67    0.67  4.00 -1.00
   0.67    0.67  4.00  1.00
   0.67    0.67  4.00  0.50
   0.67    0.63  2.50 -1.00
   0.67    0.63  0.00  5.00
   0.68    0.64  3.50  3.00
   0.68    0.62  2.50  5.00
   0.68    0.63  3.00  4.00
   0.68    0.66  4.00  1.50
   0.68    0.69  4.50 -1.00
   0.69    0.69  4.50 -0.50
   0.69    0.69  4.50  0.00
   0.69    0.64  3.50  3.50
   0.69    0.65  4.00  2.50
   0.69    0.65  3.00 -1.50
   0.69    0.63  3.00  4.50
   0.69    0.63  3.50  4.50
   0.70    0.63  3.00  5.00
   0.70    0.66  4.00  2.00
   0.70    0.65  4.00  3.00
   0.70    0.64  3.50  4.00
   0.70    0.62  0.00  4.50
   0.70    0.65  3.50 -1.50
   0.70    0.62  2.00 -1.00
   0.70    0.63  3.50  5.00
   0.70    0.68  4.00 -1.50
   0.70    0.69  4.50 -1.50
   0.70    0.65  4.00  3.50
   0.70    0.69  4.50  0.50
   0.70    0.64  4.00  4.00
   0.71    0.61  0.00  4.00
   0.71    0.64  4.00  4.50
   0.71    0.58  1.50 -0.50
   0.71    0.68  4.50  1.00
   0.71    0.63  2.50 -1.50
   0.71    0.71  5.00 -1.00
   0.72    0.55  1.00  0.00
   0.72    0.68  4.50  2.50
   0.72    0.58  0.00  3.50
   0.72    0.65  3.50 -2.00
   0.72    0.68  4.50  1.50
   0.72    0.67  4.50  3.00
   0.72    0.66  4.50  3.50
   0.72    0.65  4.00  5.00
   0.72    0.71  5.00 -1.50
   0.72    0.70  5.00  0.00
   0.72    0.69  4.50 -2.00
   0.72    0.68  4.50  2.00
   0.72    0.70  5.00 -0.50
   0.73    0.71  5.00 -2.00
   0.73    0.67  4.00 -2.00
   0.73    0.52  0.50  1.00
   0.73    0.66  4.50  4.00
   0.73    0.70  5.00  0.50
   0.73    0.67  4.50  4.50
   0.73    0.65  3.00 -2.00
   0.73    0.55  0.00  3.00
   0.73    0.67  4.50  5.00
   0.74    0.69  5.00  2.00
   0.74    0.68  5.00  3.00
   0.74    0.68  5.00  2.50
   0.74    0.71  5.00 -2.50
   0.74    0.67  5.00  3.50
   0.74    0.70  5.00  1.00
   0.75    0.69  5.00  1.50
   0.76    0.65  2.50 -2.00
   0.76    0.62  2.00 -1.50
   0.76    0.70  4.50 -2.50
   0.76    0.68  5.00  4.00
   0.76    0.68  4.00 -2.50
   0.76    0.59  1.50 -1.00
   0.76    0.69  5.00  4.50
   0.76    0.67  3.50 -2.50
   0.77    0.54  1.00 -0.50
   0.77    0.70  5.00  5.00
   0.77    0.53  0.00  2.50
   0.77    0.68  3.00 -2.50
   0.77    0.71  5.00 -3.00
   0.78    0.70  4.50 -3.00
   0.80    0.49  0.50  0.50
   0.80    0.72  5.00 -3.50
   0.80    0.69  3.50 -3.00
   0.80    0.70  4.00 -3.00
   0.81    0.71  4.50 -3.50
   0.81    0.67  2.50 -2.50
   0.81    0.70  3.00 -3.00
   0.82    0.63  2.00 -2.00
   0.82    0.70  4.00 -3.50
   0.82    0.59  1.50 -1.50
   0.83    0.53  1.00 -1.00
   0.83    0.74  5.00 -4.00
   0.83    0.48  0.00  2.00
   0.84    0.72  3.50 -3.50
   0.85    0.73  4.50 -4.00
   0.86    0.75  5.00 -4.50
   0.86    0.74  3.00 -3.50
   0.87    0.47  0.50  0.00
   0.87    0.75  4.00 -4.00
   0.87    0.69  2.50 -3.00
   0.88    0.55  1.00 -1.50
   0.88    0.76  3.50 -4.00
   0.89    0.45  0.00  1.50
   0.89    0.62  1.50 -2.00
   0.89    0.77  4.50 -4.50
   0.90    0.66  2.00 -2.50
   0.90    0.78 -0.50  5.00
   0.90    0.78  5.00 -5.00
   0.91    0.43  0.00  1.00
   0.91    0.79  4.00 -4.50
   0.92    0.45  0.50 -0.50
   0.92    0.79  3.50 -4.50
   0.92    0.77 -0.50  4.50
   0.93    0.76  3.00 -4.00
   0.93    0.47  0.00  0.50
   0.93    0.80  4.50 -5.00
   0.94    0.73  2.50 -3.50
   0.94    0.53  0.00  0.00
   0.94    0.68  2.00 -3.00
   0.95    0.81  4.00 -5.00
   0.95    0.65  1.50 -2.50
   0.96    0.48  0.50 -1.00
   0.96    0.75 -0.50  4.00
   0.97    0.60  1.00 -2.00
   0.98    0.73 -0.50  3.50
   0.98    0.83  3.50 -5.00
   1.00    0.79  3.00 -4.50
   1.00    0.76  2.50 -4.00
   1.00    0.71 -0.50  3.00
   1.01    0.51  0.50 -1.50
   1.02    0.73  2.00 -3.50
   1.04    0.69 -0.50  2.50
   1.05    0.45  0.00 -0.50
   1.05    0.70  1.50 -3.00
   1.06    0.63  1.00 -2.50
   1.06    0.83  3.00 -5.00
   1.07    0.79  2.50 -4.50
   1.08    0.75  2.00 -4.00
   1.08    0.67 -0.50  2.00
   1.10    0.49  0.00 -1.00
   1.10    0.59  0.50 -2.00
   1.12    0.66 -0.50  1.50
   1.12    0.72  1.50 -3.50
   1.14    0.83  2.50 -5.00
   1.14    0.79  2.00 -4.50
   1.15    0.69  1.00 -3.00
   1.15    0.64 -0.50  1.00
   1.19    0.59  0.00 -1.50
   1.20    0.76  1.50 -4.00
   1.20    0.68  0.50 -2.50
   1.20    0.66 -0.50  0.50
   1.22    1.06 -1.00  5.00
   1.23    0.84  2.00 -5.00
   1.24    0.72  1.00 -3.50
   1.24    1.05 -1.00  4.50
   1.24    0.69 -0.50  0.00
   1.28    0.80  1.50 -4.50
   1.28    0.76  0.50 -3.00
   1.28    1.05 -1.00  4.00
   1.28    0.68  0.00 -2.00
   1.31    0.73 -0.50 -0.50
   1.33    0.79  1.00 -4.00
   1.33    1.04 -1.00  3.50
   1.36    0.85  1.50 -5.00
   1.37    0.80  0.00 -2.50
   1.38    1.04 -1.00  3.00
   1.39    0.86  0.50 -3.50
   1.40    0.80 -0.50 -1.00
   1.42    1.02 -1.00  2.50
   1.45    0.87  1.00 -4.50
   1.46    0.89  0.00 -3.00
   1.48    0.99 -1.00  2.00
   1.48    0.92  0.50 -4.00
   1.51    0.87 -0.50 -1.50
   1.53    1.00 -1.00  1.50
   1.54    0.94  1.00 -5.00
   1.55    0.99  0.00 -3.50
   1.55    1.21 -1.50  5.00
   1.59    1.19 -1.50  4.50
   1.59    1.00 -1.00  1.00
   1.60    1.00  0.50 -4.50
   1.60    0.92 -0.50 -2.00
   1.63    1.20 -1.50  4.00
   1.63    1.08  0.00 -4.00
   1.65    1.01 -1.00  0.50
   1.67    1.19 -1.50  3.50
   1.68    0.99 -0.50 -2.50
   1.68    1.06  0.50 -5.00
   1.70    1.02 -1.00  0.00
   1.72    1.19 -1.50  3.00
