   mean     std    e1    e2
   0.86    0.98  4.00 -2.50
   0.86    0.97  4.00 -2.00
   0.86    0.97  5.00 -2.50
   0.86    0.97  1.00 -0.50
   0.86    0.97  3.00 -1.50
   0.86    0.97  2.00 -1.00
   0.87    0.98  3.50 -2.50
   0.87    0.98  3.50 -2.00
   0.87    0.98  4.50 -2.50
   0.87    0.99  5.00 -3.00
   0.87    0.99  2.50 -1.50
   0.87    0.98  5.00 -3.50
   0.87    0.98  4.00 -3.00
   0.87    0.98  2.00 -1.50
   0.87    1.00  4.50 -2.00
   0.88    0.99  1.50 -1.00
   0.88    0.99  3.00 -2.00
   0.88    0.99  4.50 -3.00
   0.88    1.00  3.50 -1.50
   0.89    1.00  4.50 -3.50
   0.89    1.00  5.00 -2.00
   0.89    1.00  2.50 -1.00
   0.90    1.01  4.00 -1.50
   0.90    1.02  3.00 -2.50
   0.90    1.01  5.00 -4.00
   0.90    1.01  2.50 -2.00
   0.90    1.02  3.50 -3.00
   0.91    1.03  4.00 -3.50
   0.91    1.01  1.50 -0.50
   0.91    1.01  3.00 -1.00
   0.91    1.01  4.50 -1.50
   0.92    1.04  5.00 -4.50
   0.92    1.04  4.50 -4.00
   0.93    1.04  2.00 -2.00
   0.93    1.04  0.50 -0.50
   0.93    1.04  4.50 -4.50
   0.93    1.04  5.00 -5.00
   0.93    1.04  4.00 -4.00
   0.93    1.04  3.50 -3.50
   0.93    1.04  3.00 -3.00
   0.93    1.04  2.50 -2.50
   0.93    1.04  1.50 -1.50
   0.93    1.04  1.00 -1.00
   0.95    1.02  5.00 -1.50
   0.96    1.07  4.50 -5.00
   0.96    1.02  3.50 -1.00
   0.96    1.07  3.50 -4.00
   0.96    1.07  4.00 -4.50
   0.97    1.08  4.00 -5.00
   0.97    1.08  2.00 -2.50
   0.97    1.08  2.50 -3.00
   0.97    1.08  3.00 -3.50
   0.97    1.08  3.50 -4.50
   0.98    1.09  3.00 -4.00
   0.98    1.09  1.50 -2.00
   0.99    1.10  2.50 -3.50
   0.99    1.11  3.50 -5.00
   1.00    1.05  2.00 -0.50
   1.00    1.05  4.00 -1.00
   1.00    1.12  3.00 -4.50
   1.00    1.12  2.00 -3.00
   1.00    1.12  1.00 -1.50
   1.01    1.04  4.50 -1.00
   1.01    1.04  5.00 -1.00
   1.01    1.04  2.50 -0.50
   1.03    1.15  2.50 -4.00
   1.04    1.15  1.50 -2.50
   1.04    1.15  3.00 -5.00
   1.05    1.17  2.00 -4.00
   1.05    1.16  2.00 -3.50
   1.05    1.17  2.50 -5.00
   1.05    1.17  1.00 -2.00
   1.05    1.17  0.50 -1.00
   1.05    1.17  1.50 -3.00
   1.05    1.08  3.00 -0.50
   1.06    1.17  2.50 -4.50
   1.09    1.10  3.50 -0.50
   1.09    1.20  2.00 -4.50
   1.10    1.21  1.50 -3.50
   1.10    1.22  2.00 -5.00
   1.10    1.22  1.00 -2.50
   1.11    1.09  4.00 -0.50
   1.12    1.23  1.50 -4.00
   1.13    1.09  4.50 -0.50
   1.13    1.23  1.00 -3.00
   1.13    1.23  1.50 -4.50
   1.13    1.23  0.50 -1.50
   1.15    1.25  1.00 -3.50
   1.15    1.25  1.50 -5.00
   1.16    1.10  5.00 -0.50
   1.16    1.26  1.00 -4.00
   1.16    1.26  0.50 -2.00
   1.18    1.26  1.00 -5.00
   1.18    1.26  0.50 -2.50
   1.18    1.26  1.00 -4.50
   1.18    1.26  0.50 -3.00
   1.19    1.27  0.50 -4.50
   1.19    1.27  0.50 -4.00
   1.19    1.27  0.50 -3.50
   1.20    1.29  0.50 -5.00
   1.23    1.30  0.00 -5.00
   1.23    1.30  0.00 -4.50
   1.23    1.30  0.00 -1.00
   1.23    1.30  0.00 -1.50
   1.23    1.30  0.00 -4.00
   1.23    1.30  0.00 -3.50
   1.23    1.30  0.00 -3.00
   1.23    1.30  0.00 -2.50
   1.23    1.30  0.00 -0.50
   1.23    1.30  0.00 -2.00
   1.26    1.33 -0.50 -5.00
   1.26    1.33 -0.50 -4.50
   1.27    1.33 -0.50 -4.00
   1.27    1.33 -0.50 -3.50
   1.29    1.34 -0.50 -3.00
   1.31    1.36 -0.50 -2.50
   1.31    1.36 -1.00 -5.00
   1.33    1.37 -1.00 -4.50
   1.37    1.40 -0.50 -2.00
   1.37    1.40 -1.00 -4.00
   1.40    1.42 -1.00 -3.50
   1.41    1.42 -1.50 -5.00
   1.42    1.43 -1.00 -3.00
   1.42    1.43 -1.50 -4.50
   1.42    1.43 -0.50 -1.50
   1.45    1.43 -1.50 -4.00
   1.46    1.44 -2.00 -5.00
   1.46    1.44 -1.00 -2.50
   1.46    1.44 -1.50 -3.50
   1.47    1.44 -2.00 -4.50
   1.51    1.26  3.00  0.00
   1.51    1.26  1.50  0.00
   1.51    1.26  0.50  0.00
   1.51    1.26  1.00  0.00
   1.51    1.26  2.00  0.00
   1.51    1.26  2.50  0.00
   1.51    1.26  3.50  0.00
   1.51    1.26  4.50  0.00
   1.51    1.26  4.00  0.00
   1.51    1.26  5.00  0.00
   1.52    1.47 -1.00 -2.00
   1.52    1.47 -2.50 -5.00
   1.52    1.47 -2.00 -4.00
   1.52    1.47 -0.50 -1.00
   1.52    1.47 -1.50 -3.00
   1.58    1.50 -2.50 -4.50
   1.60    1.51 -2.00 -3.50
   1.61    1.51 -3.00 -5.00
   1.61    1.51 -1.50 -2.50
   1.61    1.51 -2.50 -4.00
   1.64    1.52 -1.00 -1.50
   1.64    1.52 -3.00 -4.50
   1.64    1.52 -2.00 -3.00
   1.66    1.54 -3.50 -5.00
   1.69    1.55 -2.50 -3.50
   1.72    1.56 -1.50 -2.00
   1.72    1.56 -3.00 -4.00
   1.76    1.57 -3.50 -4.50
   1.79    1.59 -4.00 -5.00
   1.79    1.59 -2.00 -2.50
   1.83    1.60 -2.50 -3.00
   1.84    1.60 -3.00 -3.50
   1.87    1.60 -3.50 -4.00
   1.88    1.61 -4.00 -4.50
   1.89    1.61 -4.50 -5.00
   1.95    1.62 -3.00 -3.00
   1.95    1.62 -2.00 -2.00
   1.95    1.62 -2.50 -2.50
   1.95    1.62 -1.00 -1.00
   1.95    1.62 -5.00 -5.00
   1.95    1.62 -4.50 -4.50
   1.95    1.62 -0.50 -0.50
   1.95    1.62 -3.50 -3.50
   1.95    1.62 -4.00 -4.00
   1.95    1.62 -1.50 -1.50
   2.03    1.64 -5.00 -4.50
   2.03    1.47  5.00  0.50
   2.03    1.64 -4.50 -4.00
   2.06    1.64 -4.00 -3.50
   2.08    1.64 -3.50 -3.00
   2.11    1.65 -3.00 -2.50
   2.12    1.49  4.50  0.50
   2.17    1.65 -2.50 -2.00
   2.17    1.65 -5.00 -4.00
   2.19    1.65 -4.50 -3.50
   2.20    1.51  4.00  0.50
   2.24    1.67 -2.00 -1.50
   2.24    1.67 -4.00 -3.00
   2.28    1.68 -3.50 -2.50
   2.29    1.68 -5.00 -3.50
   2.30    1.52  3.50  0.50
   2.36    1.67 -1.50 -1.00
   2.36    1.67 -3.00 -2.00
   2.36    1.67 -4.50 -3.00
   2.42    1.51  3.00  0.50
