   mean     std    e1    e2
   0.04    0.20  5.00 -5.00
   0.04    0.20  5.00 -4.50
   0.04    0.21  4.50 -5.00
   0.04    0.22  4.00 -5.00
   0.04    0.21  4.00 -4.50
   0.04    0.21  4.50 -4.50
   0.04    0.21  5.00 -4.00
   0.04    0.22  3.50 -5.00
   0.04    0.21  4.00 -4.00
   0.04    0.21  4.50 -4.00
   0.05    0.23  3.50 -4.50
   0.05    0.22  4.00 -3.50
   0.05    0.22  5.00 -3.00
   0.05    0.22  5.00 -3.50
   0.05    0.22  4.50 -3.50
   0.05    0.24  3.50 -4.00
   0.05    0.24  3.50 -3.50
   0.06    0.27  3.00 -5.00
   0.06    0.24  4.50 -3.00
   0.06    0.24  4.00 -3.00
   0.06    0.27  3.00 -4.50
   0.06    0.26  3.00 -4.00
   0.06    0.25  3.50 -3.00
   0.06    0.25  5.00 -2.50
   0.06    0.27  3.00 -3.50
   0.07    0.26  3.00 -3.00
   0.07    0.30  2.50 -5.00
   0.07    0.26  4.50 -2.50
   0.07    0.30  2.50 -4.00
   0.07    0.31  2.50 -4.50
   0.08    0.27  3.50 -2.50
   0.08    0.27  4.00 -2.50
   0.08    0.30  2.50 -3.50
   0.08    0.33  2.00 -5.00
   0.08    0.33  2.00 -4.50
   0.08    0.28  3.00 -2.50
   0.09    0.31  2.50 -3.00
   0.09    0.29  4.50 -2.00
   0.09    0.29  5.00 -2.00
   0.09    0.34  2.00 -4.00
   0.09    0.33  2.00 -3.50
   0.10    0.30  4.00 -2.00
   0.10    0.33  2.00 -3.00
   0.10    0.40  1.50 -5.00
   0.10    0.32  2.50 -2.50
   0.11    0.38  1.50 -4.50
   0.11    0.31  3.50 -2.00
   0.11    0.37  1.50 -4.00
   0.11    0.38  1.50 -3.50
   0.11    0.32  3.00 -2.00
   0.12    0.44  1.00 -5.00
   0.12    0.42  1.00 -4.50
   0.12    0.36  2.00 -2.50
   0.13    0.38  1.50 -3.00
   0.13    0.33  2.50 -2.00
   0.14    0.44  1.00 -4.00
   0.15    0.44  1.00 -3.50
   0.15    0.51  0.50 -5.00
   0.15    0.36  2.00 -2.00
   0.15    0.39  1.50 -2.50
   0.15    0.50  0.50 -4.50
   0.15    0.36  5.00 -1.50
   0.16    0.36  4.50 -1.50
   0.16    0.44  1.00 -3.00
   0.16    0.37  4.00 -1.50
   0.16    0.37  3.50 -1.50
   0.16    0.50  0.50 -4.00
   0.17    0.56  0.00 -5.00
   0.18    0.44  1.00 -2.50
   0.18    0.51  0.50 -3.50
   0.18    0.56  0.00 -4.50
   0.18    0.39  3.00 -1.50
   0.19    0.42  1.50 -2.00
   0.19    0.50  0.50 -3.00
   0.19    0.57  0.00 -4.00
   0.19    0.40  2.50 -1.50
   0.20    0.63 -0.50 -5.00
   0.20    0.56  0.00 -3.50
   0.21    0.41  2.00 -1.50
   0.22    0.64 -0.50 -4.50
   0.22    0.51  0.50 -2.50
   0.22    0.46  1.00 -2.00
   0.22    0.57  0.00 -3.00
   0.23    0.63 -0.50 -4.00
   0.23    0.69 -1.00 -5.00
   0.25    0.65 -0.50 -3.50
   0.25    0.46  3.00 -1.00
   0.26    0.70 -1.00 -4.50
   0.26    0.48  2.00 -1.00
   0.26    0.45  1.50 -1.50
   0.26    0.47  2.50 -1.00
   0.26    0.46  3.50 -1.00
   0.26    0.58  0.00 -2.50
   0.27    0.52  0.50 -2.00
   0.28    0.77 -1.50 -5.00
   0.28    0.46  4.00 -1.00
   0.28    0.66 -0.50 -3.00
   0.28    0.73 -1.00 -4.00
   0.29    0.51  1.50 -1.00
   0.29    0.47  4.50 -1.00
   0.30    0.79 -1.50 -4.50
   0.30    0.74 -1.00 -3.50
   0.30    0.49  1.00 -1.50
   0.31    0.48  5.00 -1.00
   0.31    0.83 -2.00 -5.00
   0.31    0.80 -1.50 -4.00
   0.33    0.84 -2.00 -4.50
   0.33    0.67 -0.50 -2.50
   0.33    0.74 -1.00 -3.00
   0.34    0.60  0.00 -2.00
   0.34    0.89 -2.50 -5.00
   0.35    0.82 -1.50 -3.50
   0.35    0.54  0.50 -1.50
   0.35    0.54  1.00 -1.00
   0.35    0.85 -2.00 -4.00
   0.37    0.92 -2.50 -4.50
   0.38    0.60  1.50 -0.50
   0.39    0.62  1.00 -0.50
   0.39    0.98 -3.00 -5.00
   0.40    0.60  2.00 -0.50
   0.40    0.87 -2.00 -3.50
   0.41    0.84 -1.50 -3.00
   0.41    0.57  0.50 -1.00
   0.41    0.95 -2.50 -4.00
   0.42    0.59  2.50 -0.50
   0.42    0.76 -1.00 -2.50
   0.42    0.99 -3.00 -4.50
   0.42    0.59  0.00 -1.50
   0.43    0.68 -0.50 -2.00
   0.43    1.05 -3.50 -5.00
   0.44    0.65  0.50 -0.50
   0.47    0.59  3.00 -0.50
   0.48    1.02 -3.00 -4.00
   0.48    1.07 -3.50 -4.50
   0.48    0.99 -2.50 -3.50
   0.50    0.66  0.50  0.00
   0.50    0.63  0.00 -1.00
   0.50    1.13 -4.00 -5.00
