   mean     std    e1    e2
   0.00    0.00  5.00 -2.00
   0.03    0.17  4.00 -2.50
   0.20    0.40  4.00 -4.50
   0.22    0.43  3.50 -2.50
   0.22    0.43  3.50 -3.00
   0.23    0.46  4.00 -2.00
   0.24    0.48  3.50 -1.50
   0.25    0.48  3.50 -1.00
   0.27    0.49  3.50 -2.00
   0.27    0.49  3.00 -1.00
   0.27    0.52  3.50 -0.50
   0.27    0.50  3.00 -0.50
   0.28    0.50  3.50 -3.50
   0.29    0.56  3.50  0.00
   0.30    0.50  3.00 -1.50
   0.30    0.55  3.00  0.00
   0.30    0.53  4.00 -1.50
   0.32    0.51  2.50 -0.50
   0.32    0.55  4.00 -1.00
   0.32    0.60  3.50  0.50
   0.33    0.53  3.00 -2.00
   0.33    0.58  3.00  0.50
   0.33    0.51  2.50 -1.00
   0.34    0.54  2.50  0.00
   0.34    0.59  4.00 -0.50
   0.35    0.64  3.50  1.00
   0.35    0.62  3.00  1.00
   0.36    0.52  2.00  0.00
   0.36    0.58  2.50  0.50
   0.36    0.62  4.00  0.00
   0.37    0.57  3.00 -2.50
   0.37    0.54  2.50 -1.50
   0.37    0.52  2.00 -0.50
   0.38    0.67  4.00  0.50
   0.38    0.60  3.50 -4.00
   0.38    0.67  3.50  1.50
   0.39    0.61  2.50  1.00
   0.39    0.65  3.00  1.50
   0.39    0.56  2.00  0.50
   0.40    0.69  4.00  1.00
   0.41    0.61  3.00 -3.00
   0.41    0.71  4.00  1.50
   0.41    0.60  4.50 -2.00
   0.42    0.70  3.50  2.00
   0.43    0.54  1.50  0.50
   0.43    0.55  2.00 -1.00
   0.43    0.61  2.00  1.00
   0.43    0.68  3.00  2.00
   0.44    0.73  4.00  2.00
   0.44    0.65  2.50  1.50
   0.44    0.59  2.50 -2.00
   0.44    0.54  1.50  0.00
   0.45    0.74  4.00  2.50
   0.45    0.72  3.50  2.50
   0.45    0.75  4.50  1.50
   0.46    0.73  4.50  1.00
   0.46    0.64  3.00 -3.50
   0.46    0.71  3.00  2.50
   0.47    0.59  1.50  1.00
   0.47    0.73  4.50  0.50
   0.47    0.76  4.50  2.00
   0.47    0.74  3.50  3.00
   0.47    0.76  4.00  3.00
   0.48    0.77  4.50  2.50
   0.48    0.64  2.00  1.50
   0.48    0.68  2.50  2.00
   0.49    0.78  4.50  3.00
   0.49    0.56  1.00  1.00
   0.49    0.67  3.00 -4.00
   0.49    0.56  1.50 -0.50
   0.49    0.74  3.00  3.00
   0.49    0.72  4.50  0.00
   0.50    0.62  1.50  1.50
   0.50    0.79  4.00  3.50
   0.50    0.71  2.50  2.50
   0.50    0.78  3.50  3.50
   0.51    0.61  2.00 -1.50
   0.51    0.80  4.50  3.50
   0.51    0.78  3.00  3.50
   0.52    0.54  1.00  0.50
   0.52    0.69  2.00  2.00
   0.53    0.75  2.50  3.00
   0.53    0.83  5.00  4.00
   0.53    0.83  4.50  4.00
   0.53    0.84  4.00  4.00
   0.53    0.83  3.50  4.00
   0.53    0.63  4.50 -1.50
   0.53    0.70  4.50 -0.50
   0.53    0.60  1.00  1.50
   0.54    0.67  2.50 -2.50
   0.54    0.69  1.50  2.00
   0.54    0.73  2.00  2.50
   0.54    0.82  5.00  3.50
   0.55    0.81  5.00  3.00
   0.55    0.87  4.00  4.50
   0.55    0.86  5.00  4.50
   0.55    0.87  4.50  4.50
   0.55    0.85  3.00  4.00
   0.56    0.73  3.00 -4.50
   0.56    0.60  5.00 -1.50
   0.56    0.87  3.50  4.50
   0.56    0.81  5.00  2.50
   0.56    0.82  2.50  3.50
   0.56    0.88  5.00  5.00
   0.57    0.80  5.00  2.00
   0.57    0.77  2.00  3.00
   0.57    0.56  1.00  0.00
   0.57    0.91  4.00  5.00
   0.57    0.90  4.50  5.00
   0.57    0.77  3.50 -4.50
   0.58    0.66  4.50 -1.00
   0.58    0.61  1.50 -1.00
   0.58    0.88  3.00  4.50
   0.58    0.81  5.00  1.50
   0.58    0.68  1.00  2.00
   0.58    0.91  3.50  5.00
   0.58    0.74  1.50  2.50
   0.59    0.92  3.00  5.00
   0.59    0.87  2.50  4.00
   0.59    0.80  5.00  1.00
   0.60    0.83  2.00  3.50
   0.60    1.02  4.00 -5.00
   0.60    0.54  0.50  1.00
   0.61    0.78  1.50  3.00
   0.61    0.89  2.50  4.50
   0.61    0.58  0.50  1.50
   0.61    0.68  2.00 -2.00
   0.62    0.88  2.00  4.00
   0.62    0.73  1.00  2.50
   0.63    0.95  2.50  5.00
   0.63    0.77  2.50 -3.00
   0.64    0.92  2.00  4.50
   0.64    0.65  0.50  2.00
   0.64    0.85  1.50  3.50
   0.64    0.65  5.00 -1.00
   0.65    0.79  3.00 -5.00
   0.65    0.81  5.00  0.50
   0.65    0.79  1.00  3.00
   0.65    0.96  2.00  5.00
   0.66    0.54  0.50  0.50
   0.66    0.89  1.50  4.00
   0.67    0.69  1.50 -1.50
   0.67    0.93  1.50  4.50
   0.67    0.85  1.00  3.50
   0.68    0.62  1.00 -0.50
   0.68    0.71  0.50  2.50
   0.69    0.75  2.00 -2.50
   0.70    0.99  1.50  5.00
   0.70    0.91  1.00  4.00
   0.71    0.72  5.00 -0.50
   0.71    0.82  2.50 -3.50
   0.72    0.96  1.00  4.50
   0.73    0.79  5.00  0.00
   0.73    0.99  1.00  5.00
   0.74    0.80  0.50  3.00
   0.75    0.91  3.50 -5.00
   0.76    0.74  1.50 -2.00
   0.76    0.66  1.00 -1.00
   0.76    0.80  2.00 -3.00
   0.77    0.85  0.50  3.50
   0.78    0.85  2.50 -4.00
   0.78    0.54  0.00  1.00
   0.80    0.60  0.00  2.00
   0.81    0.93  0.50  4.00
   0.81    0.53  0.00  1.50
   0.81    0.99  0.50  5.00
   0.82    0.58  0.50  0.00
   0.82    0.96  0.50  4.50
   0.83    0.81  1.50 -2.50
   0.85    0.74  1.00 -1.50
   0.86    0.87  2.50 -4.50
   0.86    0.71  0.00  2.50
   0.88    0.58  0.00  0.50
   0.89    0.87  2.00 -3.50
   0.89    0.81  0.00  3.00
   0.90    0.61  0.50 -0.50
   0.90    0.88  0.00  3.50
   0.92    0.88  1.50 -3.00
   0.93    0.97  0.00  4.50
   0.93    0.96  0.00  4.00
   0.93    0.99  0.00  5.00
   0.94    0.93  2.50 -5.00
   0.96    0.82  1.00 -2.00
   0.98    0.91  2.00 -4.00
   1.00    0.57  0.00  0.00
   1.02    0.76  0.50 -1.00
   1.04    0.90  1.00 -2.50
   1.04    0.81  0.50 -1.50
   1.05    0.93  1.50 -3.50
   1.08    0.73 -0.50  2.00
   1.08    0.74 -0.50  1.50
   1.09    0.79 -0.50  2.50
   1.10    1.07 -0.50  5.00
   1.10    0.95  1.00 -3.00
   1.10    0.79 -0.50  1.00
   1.10    0.97  2.00 -4.50
   1.11    1.05 -0.50  4.50
   1.11    0.85 -0.50  3.00
   1.12    0.89  0.50 -2.00
   1.12    0.66  0.00 -0.50
   1.13    1.02 -0.50  4.00
   1.14    0.97 -0.50  3.50
   1.19    1.04  1.00 -3.50
